dateTime,analogValue
2015-12-20 17:32:07.393820,
2015-12-20 17:32:07.403932,
2015-12-20 17:32:07.415090,
2015-12-20 17:32:07.425557,
2015-12-20 17:32:07.435921,
2015-12-20 17:32:07.445985,
2015-12-20 17:32:07.458619,
2015-12-20 17:32:07.471365,
2015-12-20 17:32:07.483516,
2015-12-20 17:32:07.496184,
2015-12-20 17:32:07.508955,
2015-12-20 17:32:07.521764,
2015-12-20 17:32:07.533580,
2015-12-20 17:32:07.546341,
2015-12-20 17:32:07.559153,
2015-12-20 17:32:07.571379,
2015-12-20 17:32:07.583607,
2015-12-20 17:32:07.594182,
2015-12-20 17:32:07.604464,
2015-12-20 17:32:07.615174,
2015-12-20 17:32:07.626249,
2015-12-20 17:32:07.638854,
2015-12-20 17:32:07.650126,
2015-12-20 17:32:07.660253,
2015-12-20 17:32:07.672899,
2015-12-20 17:32:07.683620,
2015-12-20 17:32:07.696254,
2015-12-20 17:32:07.709032,
2015-12-20 17:32:07.721858,
2015-12-20 17:32:07.733649,
2015-12-20 17:32:07.746484,
2015-12-20 17:32:07.758724,
2015-12-20 17:32:07.769300,
2015-12-20 17:32:07.782038,
2015-12-20 17:32:07.794876,
2015-12-20 17:32:07.807708,
2015-12-20 17:32:07.819913,
2015-12-20 17:32:07.832534,
2015-12-20 17:32:07.843844,
2015-12-20 17:32:07.856567,
2015-12-20 17:32:07.866957,
2015-12-20 17:32:07.879803,
2015-12-20 17:32:07.892637,
2015-12-20 17:32:07.905466,
2015-12-20 17:32:07.916956,
2015-12-20 17:32:07.929787,
2015-12-20 17:32:07.942611,
2015-12-20 17:32:07.955477,
2015-12-20 17:32:07.968325,
2015-12-20 17:32:07.981168,
2015-12-20 17:32:07.994002,
2015-12-20 17:32:08.006839,
2015-12-20 17:32:08.019688,
2015-12-20 17:32:08.032521,
2015-12-20 17:32:08.045354,
2015-12-20 17:32:08.058213,
2015-12-20 17:32:08.071050,
2015-12-20 17:32:08.083648,
2015-12-20 17:32:08.093998,
2015-12-20 17:32:08.106830,
2015-12-20 17:32:08.119571,
2015-12-20 17:32:08.132277,
2015-12-20 17:32:08.145139,
2015-12-20 17:32:08.157973,
2015-12-20 17:32:08.170807,
2015-12-20 17:32:08.183680,
2015-12-20 17:32:08.196513,
2015-12-20 17:32:08.209346,
2015-12-20 17:32:08.222181,
2015-12-20 17:32:08.233663,
2015-12-20 17:32:08.246493,
2015-12-20 17:32:08.259323,
2015-12-20 17:32:08.272158,
2015-12-20 17:32:08.283673,
2015-12-20 17:32:08.296506,
2015-12-20 17:32:08.309360,
2015-12-20 17:32:08.322200,
2015-12-20 17:32:08.333677,
2015-12-20 17:32:08.346509,
2015-12-20 17:32:08.359347,
2015-12-20 17:32:08.372208,
2015-12-20 17:32:08.385037,
2015-12-20 17:32:08.397874,
2015-12-20 17:32:08.409578,
