dateTime,analogValue
2015-12-20 17:02:58.378820,
2015-12-20 17:02:58.388969,
2015-12-20 17:02:58.399861,
2015-12-20 17:02:58.410595,
2015-12-20 17:02:58.421551,
2015-12-20 17:02:58.434237,
2015-12-20 17:02:58.447067,
2015-12-20 17:02:58.459899,
2015-12-20 17:02:58.472727,
2015-12-20 17:02:58.484023,
2015-12-20 17:02:58.496798,
2015-12-20 17:02:58.508843,
2015-12-20 17:02:58.521674,
2015-12-20 17:02:58.534505,
2015-12-20 17:02:58.547343,
2015-12-20 17:02:58.560175,
2015-12-20 17:02:58.573007,
2015-12-20 17:02:58.585842,
2015-12-20 17:02:58.598671,
2015-12-20 17:02:58.611536,
2015-12-20 17:02:58.624378,
2015-12-20 17:02:58.637208,
2015-12-20 17:02:58.650059,
2015-12-20 17:02:58.662323,
2015-12-20 17:02:58.674118,
2015-12-20 17:02:58.686825,
2015-12-20 17:02:58.699659,
2015-12-20 17:02:58.710655,
2015-12-20 17:02:58.723488,
2015-12-20 17:02:58.736323,
2015-12-20 17:02:58.746855,
2015-12-20 17:02:58.759686,
2015-12-20 17:02:58.772529,
2015-12-20 17:02:58.785368,
2015-12-20 17:02:58.798044,
2015-12-20 17:02:58.810877,
2015-12-20 17:02:58.823711,
2015-12-20 17:02:58.836544,
2015-12-20 17:02:58.849380,
2015-12-20 17:02:58.862215,
2015-12-20 17:02:58.875024,
2015-12-20 17:02:58.887768,
2015-12-20 17:02:58.899694,
2015-12-20 17:02:58.912530,
2015-12-20 17:02:58.925412,
2015-12-20 17:02:58.938236,
2015-12-20 17:02:58.951069,
2015-12-20 17:02:58.963896,
2015-12-20 17:02:58.976731,
2015-12-20 17:02:58.989566,
2015-12-20 17:02:58.999933,
2015-12-20 17:02:59.012676,
2015-12-20 17:02:59.025511,
2015-12-20 17:02:59.038343,
2015-12-20 17:02:59.051182,
2015-12-20 17:02:59.063573,
2015-12-20 17:02:59.076412,
2015-12-20 17:02:59.087095,
2015-12-20 17:02:59.099832,
2015-12-20 17:02:59.112663,
2015-12-20 17:02:59.125514,
2015-12-20 17:02:59.138370,
2015-12-20 17:02:59.151203,
