dateTime,analogValue
2015-12-20 17:06:27.231711,
2015-12-20 17:06:27.242055,
2015-12-20 17:06:27.254223,
2015-12-20 17:06:27.266453,
2015-12-20 17:06:27.276544,
2015-12-20 17:06:27.288830,
2015-12-20 17:06:27.301122,
2015-12-20 17:06:27.313847,
2015-12-20 17:06:27.326661,
2015-12-20 17:06:27.338504,
2015-12-20 17:06:27.351162,
2015-12-20 17:06:27.363901,
2015-12-20 17:06:27.376729,
2015-12-20 17:06:27.388473,
2015-12-20 17:06:27.400479,
2015-12-20 17:06:27.413225,
2015-12-20 17:06:27.426052,
2015-12-20 17:06:27.438516,
2015-12-20 17:06:27.449017,
2015-12-20 17:06:27.461747,
2015-12-20 17:06:27.474579,
2015-12-20 17:06:27.484933,
2015-12-20 17:06:27.497694,
2015-12-20 17:06:27.510425,
2015-12-20 17:06:27.521722,
2015-12-20 17:06:27.533725,
2015-12-20 17:06:27.544255,
2015-12-20 17:06:27.555128,
2015-12-20 17:06:27.567843,
2015-12-20 17:06:27.580685,
2015-12-20 17:06:27.593527,
2015-12-20 17:06:27.605275,
2015-12-20 17:06:27.618113,
2015-12-20 17:06:27.630855,
2015-12-20 17:06:27.643685,
2015-12-20 17:06:27.655278,
2015-12-20 17:06:27.668129,
2015-12-20 17:06:27.680963,
2015-12-20 17:06:27.693794,
2015-12-20 17:06:27.705275,
2015-12-20 17:06:27.717949,
2015-12-20 17:06:27.730789,
2015-12-20 17:06:27.743625,
2015-12-20 17:06:27.756459,
2015-12-20 17:06:27.766763,
2015-12-20 17:06:27.779566,
2015-12-20 17:06:27.792390,
2015-12-20 17:06:27.805235,
2015-12-20 17:06:27.818068,
2015-12-20 17:06:27.830905,
2015-12-20 17:06:27.843739,
2015-12-20 17:06:27.855285,
2015-12-20 17:06:27.868118,
2015-12-20 17:06:27.880953,
2015-12-20 17:06:27.893789,
2015-12-20 17:06:27.905294,
2015-12-20 17:06:27.918131,
2015-12-20 17:06:27.930973,
2015-12-20 17:06:27.943804,
2015-12-20 17:06:27.954463,
2015-12-20 17:06:27.965061,
2015-12-20 17:06:27.977755,
2015-12-20 17:06:27.988636,
2015-12-20 17:06:28.001470,
2015-12-20 17:06:28.014303,
2015-12-20 17:06:28.027140,
2015-12-20 17:06:28.037458,
2015-12-20 17:06:28.050201,
2015-12-20 17:06:28.063030,
2015-12-20 17:06:28.075859,
2015-12-20 17:06:28.088676,
2015-12-20 17:06:28.101522,
2015-12-20 17:06:28.114353,
2015-12-20 17:06:28.127185,
2015-12-20 17:06:28.138666,
2015-12-20 17:06:28.151507,
2015-12-20 17:06:28.164342,
2015-12-20 17:06:28.177185,
2015-12-20 17:06:28.188414,
2015-12-20 17:06:28.201244,
2015-12-20 17:06:28.214079,
2015-12-20 17:06:28.226911,
2015-12-20 17:06:28.239745,
2015-12-20 17:06:28.252586,
2015-12-20 17:06:28.265330,
2015-12-20 17:06:28.278162,
2015-12-20 17:06:28.288684,
2015-12-20 17:06:28.301521,
2015-12-20 17:06:28.314357,
2015-12-20 17:06:28.327188,
2015-12-20 17:06:28.337752,
2015-12-20 17:06:28.350586,
2015-12-20 17:06:28.363415,
2015-12-20 17:06:28.376248,
2015-12-20 17:06:28.389073,
2015-12-20 17:06:28.401908,
2015-12-20 17:06:28.414742,
2015-12-20 17:06:28.427573,
2015-12-20 17:06:28.438707,
2015-12-20 17:06:28.451543,
2015-12-20 17:06:28.462004,
2015-12-20 17:06:28.474748,
2015-12-20 17:06:28.487579,
2015-12-20 17:06:28.499068,
2015-12-20 17:06:28.511906,
2015-12-20 17:06:28.524739,
2015-12-20 17:06:28.537573,
2015-12-20 17:06:28.550409,
2015-12-20 17:06:28.563252,
2015-12-20 17:06:28.576102,
2015-12-20 17:06:28.588930,
2015-12-20 17:06:28.601762,
2015-12-20 17:06:28.613484,
2015-12-20 17:06:28.626323,
2015-12-20 17:06:28.639152,
2015-12-20 17:06:28.651984,
2015-12-20 17:06:28.664817,
2015-12-20 17:06:28.677220,
2015-12-20 17:06:28.688738,
2015-12-20 17:06:28.701572,
2015-12-20 17:06:28.714308,
2015-12-20 17:06:28.724459,
2015-12-20 17:06:28.734673,
2015-12-20 17:06:28.745756,
2015-12-20 17:06:28.756143,
2015-12-20 17:06:28.768742,
2015-12-20 17:06:28.781447,
2015-12-20 17:06:28.794285,
2015-12-20 17:06:28.805419,
2015-12-20 17:06:28.818259,
2015-12-20 17:06:28.831090,
2015-12-20 17:06:28.843924,
2015-12-20 17:06:28.854395,
2015-12-20 17:06:28.866584,105
2015-12-20 17:06:28.879586,105
2015-12-20 17:06:28.891161,106
2015-12-20 17:06:28.901649,107
2015-12-20 17:06:28.912870,107
2015-12-20 17:06:28.923673,107
2015-12-20 17:06:28.936140,106
2015-12-20 17:06:28.946706,106
2015-12-20 17:06:28.957887,106
2015-12-20 17:06:28.972032,106
2015-12-20 17:06:28.984772,108
2015-12-20 17:06:28.995088,104
2015-12-20 17:06:29.005759,103
2015-12-20 17:06:29.022862,104
2015-12-20 17:06:29.033019,106
2015-12-20 17:06:29.045702,107
2015-12-20 17:06:29.056208,107
2015-12-20 17:06:29.069773,105
2015-12-20 17:06:29.080008,106
2015-12-20 17:06:29.091734,106
2015-12-20 17:06:29.102464,105
2015-12-20 17:06:29.115471,105
2015-12-20 17:06:29.125603,104
2015-12-20 17:06:29.136655,105
2015-12-20 17:06:29.147765,106
2015-12-20 17:06:29.162824,106
2015-12-20 17:06:29.173416,105
2015-12-20 17:06:29.183969,105
2015-12-20 17:06:29.194188,106
2015-12-20 17:06:29.205281,106
2015-12-20 17:06:29.219228,105
2015-12-20 17:06:29.229477,105
2015-12-20 17:06:29.239991,105
2015-12-20 17:06:29.250431,106
2015-12-20 17:06:29.268010,105
2015-12-20 17:06:29.279163,105
2015-12-20 17:06:29.289759,106
