dateTime,analogValue
2015-12-20 17:07:23.703206,
2015-12-20 17:07:23.713455,
2015-12-20 17:07:23.726268,
2015-12-20 17:07:23.738842,
2015-12-20 17:07:23.749019,
2015-12-20 17:07:23.759095,
2015-12-20 17:07:23.771765,
2015-12-20 17:07:23.784518,
2015-12-20 17:07:23.795316,
2015-12-20 17:07:23.808047,
2015-12-20 17:07:23.820759,
2015-12-20 17:07:23.833483,
2015-12-20 17:07:23.846257,
2015-12-20 17:07:23.859107,
2015-12-20 17:07:23.871943,
2015-12-20 17:07:23.884780,
2015-12-20 17:07:23.897613,
2015-12-20 17:07:23.910453,
2015-12-20 17:07:23.923286,
2015-12-20 17:07:23.936121,
2015-12-20 17:07:23.948947,
2015-12-20 17:07:23.961781,
2015-12-20 17:07:23.974621,
2015-12-20 17:07:23.987455,
2015-12-20 17:07:24.000140,
2015-12-20 17:07:24.011937,
2015-12-20 17:07:24.024663,
2015-12-20 17:07:24.035415,
2015-12-20 17:07:24.048251,
2015-12-20 17:07:24.061075,
2015-12-20 17:07:24.073906,
2015-12-20 17:07:24.086734,
2015-12-20 17:07:24.099567,
2015-12-20 17:07:24.110658,
2015-12-20 17:07:24.123484,
2015-12-20 17:07:24.136322,
2015-12-20 17:07:24.149159,
2015-12-20 17:07:24.161982,
2015-12-20 17:07:24.174725,
2015-12-20 17:07:24.187557,
2015-12-20 17:07:24.200400,
2015-12-20 17:07:24.212086,
2015-12-20 17:07:24.224923,
2015-12-20 17:07:24.237754,
2015-12-20 17:07:24.250586,
2015-12-20 17:07:24.262094,
2015-12-20 17:07:24.274928,
2015-12-20 17:07:24.287761,
2015-12-20 17:07:24.300593,
2015-12-20 17:07:24.312107,
2015-12-20 17:07:24.324944,
2015-12-20 17:07:24.337777,
2015-12-20 17:07:24.350610,
2015-12-20 17:07:24.362118,
2015-12-20 17:07:24.374954,
2015-12-20 17:07:24.387788,
2015-12-20 17:07:24.400633,
2015-12-20 17:07:24.412106,
2015-12-20 17:07:24.424954,
2015-12-20 17:07:24.437784,
2015-12-20 17:07:24.450613,
2015-12-20 17:07:24.462114,
2015-12-20 17:07:24.474941,
2015-12-20 17:07:24.487777,
2015-12-20 17:07:24.500610,
2015-12-20 17:07:24.511550,
2015-12-20 17:07:24.522590,
2015-12-20 17:07:24.535386,
2015-12-20 17:07:24.548220,
2015-12-20 17:07:24.561048,
2015-12-20 17:07:24.573855,
2015-12-20 17:07:24.586596,
2015-12-20 17:07:24.599426,
2015-12-20 17:07:24.612223,
2015-12-20 17:07:24.625065,
2015-12-20 17:07:24.637918,
2015-12-20 17:07:24.650756,
2015-12-20 17:07:24.662147,
2015-12-20 17:07:24.674986,
2015-12-20 17:07:24.687826,
2015-12-20 17:07:24.700660,
2015-12-20 17:07:24.713488,
2015-12-20 17:07:24.726347,
2015-12-20 17:07:24.739116,
2015-12-20 17:07:24.749487,
2015-12-20 17:07:24.762297,
2015-12-20 17:07:24.775131,
2015-12-20 17:07:24.787963,
2015-12-20 17:07:24.798675,
2015-12-20 17:07:24.811516,
2015-12-20 17:07:24.824360,
2015-12-20 17:07:24.835775,
2015-12-20 17:07:24.846771,
2015-12-20 17:07:24.859596,
2015-12-20 17:07:24.872433,
2015-12-20 17:07:24.885269,
2015-12-20 17:07:24.898084,
2015-12-20 17:07:24.910826,
2015-12-20 17:07:24.923661,
2015-12-20 17:07:24.934012,
2015-12-20 17:07:24.946855,
2015-12-20 17:07:24.959686,
2015-12-20 17:07:24.972521,
2015-12-20 17:07:24.985350,
2015-12-20 17:07:24.998176,
2015-12-20 17:07:25.008476,
2015-12-20 17:07:25.021274,
2015-12-20 17:07:25.034108,
2015-12-20 17:07:25.046939,
2015-12-20 17:07:25.059778,
2015-12-20 17:07:25.072615,
2015-12-20 17:07:25.085452,
2015-12-20 17:07:25.098283,
2015-12-20 17:07:25.111121,
2015-12-20 17:07:25.123952,
2015-12-20 17:07:25.136785,
2015-12-20 17:07:25.149617,
2015-12-20 17:07:25.162449,
2015-12-20 17:07:25.175285,
2015-12-20 17:07:25.188119,
2015-12-20 17:07:25.200956,
2015-12-20 17:07:25.212206,
2015-12-20 17:07:25.222525,
2015-12-20 17:07:25.233555,
2015-12-20 17:07:25.243951,
2015-12-20 17:07:25.256779,
2015-12-20 17:07:25.269612,
2015-12-20 17:07:25.282446,
2015-12-20 17:07:25.295280,
2015-12-20 17:07:25.307008,
2015-12-20 17:07:25.319835,
2015-12-20 17:07:25.332672,106
2015-12-20 17:07:25.345335,106
2015-12-20 17:07:25.358278,107
2015-12-20 17:07:25.368687,105
2015-12-20 17:07:25.388594,107
2015-12-20 17:07:25.399020,106
2015-12-20 17:07:25.409300,105
2015-12-20 17:07:25.420242,103
2015-12-20 17:07:25.439956,106
2015-12-20 17:07:25.450196,104
2015-12-20 17:07:25.462068,104
2015-12-20 17:07:25.472497,107
2015-12-20 17:07:25.488414,105
2015-12-20 17:07:25.498648,106
2015-12-20 17:07:25.508915,103
2015-12-20 17:07:25.521190,108
2015-12-20 17:07:25.531398,106
2015-12-20 17:07:25.546628,104
2015-12-20 17:07:25.558246,103
2015-12-20 17:07:25.568561,110
2015-12-20 17:07:25.578862,106
2015-12-20 17:07:25.590808,103
2015-12-20 17:07:25.603233,105
2015-12-20 17:07:25.613650,104
2015-12-20 17:07:25.623949,107
2015-12-20 17:07:25.638963,103
2015-12-20 17:07:25.649103,105
2015-12-20 17:07:25.660433,103
2015-12-20 17:07:25.672864,106
2015-12-20 17:07:25.684372,106
2015-12-20 17:07:25.695697,106
2015-12-20 17:07:25.708403,105
2015-12-20 17:07:25.718972,106
2015-12-20 17:07:25.729433,105
2015-12-20 17:07:25.744797,104
2015-12-20 17:07:25.755035,109
2015-12-20 17:07:25.767139,107
2015-12-20 17:07:25.777473,108
2015-12-20 17:07:25.794796,103
2015-12-20 17:07:25.807454,106
2015-12-20 17:07:25.820145,105
2015-12-20 17:07:25.830667,107
2015-12-20 17:07:25.843174,107
2015-12-20 17:07:25.855867,101
2015-12-20 17:07:25.866232,101
2015-12-20 17:07:25.876603,106
2015-12-20 17:07:25.889592,108
2015-12-20 17:07:25.899713,103
2015-12-20 17:07:25.910517,106
2015-12-20 17:07:25.922859,104
2015-12-20 17:07:25.933673,106
2015-12-20 17:07:25.946051,105
2015-12-20 17:07:25.958766,105
2015-12-20 17:07:25.969269,107
2015-12-20 17:07:25.979523,108
2015-12-20 17:07:25.992193,106
2015-12-20 17:07:26.002342,103
2015-12-20 17:07:26.012791,104
2015-12-20 17:07:26.023005,107
2015-12-20 17:07:26.034489,106
2015-12-20 17:07:26.045227,104
2015-12-20 17:07:26.055448,108
2015-12-20 17:07:26.066060,106
