dateTime,analogValue
2015-12-20 17:30:31.787099,
2015-12-20 17:30:31.797377,
2015-12-20 17:30:31.809896,
2015-12-20 17:30:31.822123,
2015-12-20 17:30:31.832192,
2015-12-20 17:30:31.844846,
2015-12-20 17:30:31.855520,
2015-12-20 17:30:31.868252,
2015-12-20 17:30:31.880990,
2015-12-20 17:30:31.893726,
2015-12-20 17:30:31.905545,
2015-12-20 17:30:31.917404,
2015-12-20 17:30:31.930242,
2015-12-20 17:30:31.942996,
2015-12-20 17:30:31.955540,
2015-12-20 17:30:31.968375,
2015-12-20 17:30:31.981212,
2015-12-20 17:30:31.994044,
2015-12-20 17:30:32.005547,
2015-12-20 17:30:32.018375,
2015-12-20 17:30:32.031234,
2015-12-20 17:30:32.044068,
2015-12-20 17:30:32.055553,
2015-12-20 17:30:32.068382,
2015-12-20 17:30:32.080708,
2015-12-20 17:30:32.093419,
2015-12-20 17:30:32.105564,
2015-12-20 17:30:32.118395,
2015-12-20 17:30:32.131229,
2015-12-20 17:30:32.144062,
2015-12-20 17:30:32.155571,
2015-12-20 17:30:32.168411,
2015-12-20 17:30:32.181256,
2015-12-20 17:30:32.194092,
2015-12-20 17:30:32.205580,
2015-12-20 17:30:32.218415,
2015-12-20 17:30:32.231246,
2015-12-20 17:30:32.244097,
2015-12-20 17:30:32.255584,
2015-12-20 17:30:32.268415,
2015-12-20 17:30:32.281250,
2015-12-20 17:30:32.294088,
2015-12-20 17:30:32.305590,
2015-12-20 17:30:32.318425,
2015-12-20 17:30:32.328903,
2015-12-20 17:30:32.341741,
2015-12-20 17:30:32.354575,
2015-12-20 17:30:32.367410,
2015-12-20 17:30:32.380248,
2015-12-20 17:30:32.393077,
2015-12-20 17:30:32.405908,
2015-12-20 17:30:32.418752,
2015-12-20 17:30:32.431591,
2015-12-20 17:30:32.444426,
2015-12-20 17:30:32.457251,
2015-12-20 17:30:32.470084,
2015-12-20 17:30:32.482917,
2015-12-20 17:30:32.495747,
2015-12-20 17:30:32.506061,
2015-12-20 17:30:32.517856,
2015-12-20 17:30:32.528105,
2015-12-20 17:30:32.538939,
2015-12-20 17:30:32.551780,
2015-12-20 17:30:32.564617,
2015-12-20 17:30:32.577445,
2015-12-20 17:30:32.588956,
2015-12-20 17:30:32.601785,
2015-12-20 17:30:32.614622,
2015-12-20 17:30:32.627454,
2015-12-20 17:30:32.638971,
2015-12-20 17:30:32.651806,
2015-12-20 17:30:32.664644,
2015-12-20 17:30:32.677478,
2015-12-20 17:30:32.688974,
2015-12-20 17:30:32.701813,
2015-12-20 17:30:32.714639,
2015-12-20 17:30:32.727482,
2015-12-20 17:30:32.738980,
