dateTime,analogValue
2015-12-20 17:04:48.152975,
2015-12-20 17:04:48.163171,
2015-12-20 17:04:48.174454,
2015-12-20 17:04:48.184717,
2015-12-20 17:04:48.195443,
2015-12-20 17:04:48.207878,
2015-12-20 17:04:48.220504,
2015-12-20 17:04:48.232014,
2015-12-20 17:04:48.243270,
2015-12-20 17:04:48.255919,
2015-12-20 17:04:48.268655,
2015-12-20 17:04:48.281391,
2015-12-20 17:04:48.293271,
2015-12-20 17:04:48.305993,
2015-12-20 17:04:48.318775,
2015-12-20 17:04:48.331603,
2015-12-20 17:04:48.343332,
2015-12-20 17:04:48.356164,
2015-12-20 17:04:48.367567,
2015-12-20 17:04:48.379274,
2015-12-20 17:04:48.390989,
2015-12-20 17:04:48.402699,
2015-12-20 17:04:48.414348,
2015-12-20 17:04:48.427009,
2015-12-20 17:04:48.439744,
2015-12-20 17:04:48.449966,
2015-12-20 17:04:48.462470,
2015-12-20 17:04:48.475300,
2015-12-20 17:04:48.488131,
2015-12-20 17:04:48.500970,
2015-12-20 17:04:48.511373,
2015-12-20 17:04:48.521733,
2015-12-20 17:04:48.534415,
2015-12-20 17:04:48.547258,
2015-12-20 17:04:48.560028,
2015-12-20 17:04:48.572857,
2015-12-20 17:04:48.585690,
2015-12-20 17:04:48.598529,
2015-12-20 17:04:48.610056,
2015-12-20 17:04:48.622890,
2015-12-20 17:04:48.635723,
2015-12-20 17:04:48.648523,
2015-12-20 17:04:48.661390,
2015-12-20 17:04:48.674221,
2015-12-20 17:04:48.687053,
2015-12-20 17:04:48.699887,
2015-12-20 17:04:48.712719,
2015-12-20 17:04:48.725549,
2015-12-20 17:04:48.738383,
2015-12-20 17:04:48.751215,
2015-12-20 17:04:48.764045,
2015-12-20 17:04:48.775516,
2015-12-20 17:04:48.788348,
2015-12-20 17:04:48.798769,
2015-12-20 17:04:48.808944,
2015-12-20 17:04:48.819245,
2015-12-20 17:04:48.832021,
2015-12-20 17:04:48.843384,
2015-12-20 17:04:48.856223,
2015-12-20 17:04:48.869056,
2015-12-20 17:04:48.881883,
2015-12-20 17:04:48.893393,
2015-12-20 17:04:48.903939,
2015-12-20 17:04:48.916778,
2015-12-20 17:04:48.929616,
2015-12-20 17:04:48.942448,
2015-12-20 17:04:48.955280,
2015-12-20 17:04:48.968112,
2015-12-20 17:04:48.980942,
2015-12-20 17:04:48.993405,
2015-12-20 17:04:49.003729,
2015-12-20 17:04:49.014640,
2015-12-20 17:04:49.027321,
2015-12-20 17:04:49.039976,
2015-12-20 17:04:49.052811,
2015-12-20 17:04:49.065641,
2015-12-20 17:04:49.076779,
2015-12-20 17:04:49.089610,
2015-12-20 17:04:49.102444,
2015-12-20 17:04:49.115278,
2015-12-20 17:04:49.126753,
2015-12-20 17:04:49.139603,
2015-12-20 17:04:49.152430,
2015-12-20 17:04:49.165300,
2015-12-20 17:04:49.176435,
2015-12-20 17:04:49.189260,
2015-12-20 17:04:49.202096,
2015-12-20 17:04:49.214928,
2015-12-20 17:04:49.226767,
2015-12-20 17:04:49.239599,
2015-12-20 17:04:49.252435,
2015-12-20 17:04:49.265264,
2015-12-20 17:04:49.276776,
2015-12-20 17:04:49.289613,
2015-12-20 17:04:49.302445,
2015-12-20 17:04:49.315290,
2015-12-20 17:04:49.328122,
2015-12-20 17:04:49.340959,
2015-12-20 17:04:49.353788,
2015-12-20 17:04:49.366622,
2015-12-20 17:04:49.379451,
2015-12-20 17:04:49.392285,
2015-12-20 17:04:49.405117,
2015-12-20 17:04:49.417952,
2015-12-20 17:04:49.430793,
2015-12-20 17:04:49.443464,
2015-12-20 17:04:49.453762,
2015-12-20 17:04:49.466595,
2015-12-20 17:04:49.479421,
2015-12-20 17:04:49.492253,
2015-12-20 17:04:49.505087,
2015-12-20 17:04:49.517917,
2015-12-20 17:04:49.530745,
2015-12-20 17:04:49.543546,
2015-12-20 17:04:49.556378,
2015-12-20 17:04:49.569210,
2015-12-20 17:04:49.582002,
2015-12-20 17:04:49.594836,
2015-12-20 17:04:49.607647,
2015-12-20 17:04:49.620389,
2015-12-20 17:04:49.633227,
2015-12-20 17:04:49.643495,
2015-12-20 17:04:49.654556,
2015-12-20 17:04:49.667387,
2015-12-20 17:04:49.680215,
2015-12-20 17:04:49.693045,
2015-12-20 17:04:49.705732,
2015-12-20 17:04:49.718535,
2015-12-20 17:04:49.731371,
2015-12-20 17:04:49.743503,
2015-12-20 17:04:49.756365,
2015-12-20 17:04:49.769209,
